"Model","Year","Region","Color","Fuel_Type","Transmission","Engine_Size_L","Mileage_KM","Price_USD","Sales_Volume","Sales_Classification"
"X5",2023,"Africa","Red","Diesel","Manual",3.4,7991,106923,1897,"Low"
"X5",2020,"Middle East","Black","Petrol","Automatic",4.3,103306,98401,1116,"Low"
"X5",2023,"South America","Black","Hybrid","Manual",3.6,30880,101021,1389,"Low"
"i8",2020,"Europe","Blue","Diesel","Automatic",3.8,53389,92532,888,"Low"
"i3",2018,"North America","Silver","Petrol","Automatic",4.9,107868,83341,2204,"Low"
"5 Series",2020,"Asia","Blue","Electric","Manual",3.7,59094,88518,4722,"High"
"X6",2015,"Africa","White","Hybrid","Automatic",2.8,163899,69405,4523,"High"
"i3",2023,"Asia","White","Hybrid","Manual",3.9,22562,102599,528,"Low"
"X3",2019,"Asia","Silver","Hybrid","Automatic",3.8,93618,88695,2565,"Low"
"M3",2020,"Africa","Black","Hybrid","Manual",1.5,93819,76954,4773,"High"
"i8",2019,"Middle East","White","Petrol","Manual",3.1,87291,83627,4214,"High"
"i3",2022,"South America","Red","Petrol","Manual",4.1,61629,95568,2826,"Low"
"i8",2011,"Middle East","Red","Diesel","Automatic",3.2,185924,62738,4692,"High"
"M5",2023,"South America","Red","Electric","Automatic",4.2,60828,98705,2856,"Low"
"X5",2023,"Middle East","Black","Petrol","Manual",3.1,47552,86384,3595,"High"
"X6",2021,"South America","Silver","Hybrid","Automatic",4.9,74048,109329,1011,"Low"
"M3",2015,"Europe","Red","Electric","Manual",2.5,170078,59973,6196,"High"
"3 Series",2020,"Africa","Black","Electric","Manual",1.8,67634,77902,2976,"Low"
"M3",2021,"South America","Grey","Electric","Automatic",3,93079,82540,2866,"Low"
"X6",2016,"Middle East","Blue","Diesel","Automatic",3.4,100553,77630,3686,"High"
"i8",2016,"South America","Black","Diesel","Manual",2.7,118929,72760,5521,"High"
"X6",2021,"Asia","Red","Electric","Manual",2.3,34786,79952,3036,"Low"
"3 Series",2024,"North America","Black","Hybrid","Automatic",3.9,37716,104025,1386,"Low"
"3 Series",2020,"Europe","Black","Electric","Manual",2.8,68251,77843,4058,"High"
"M3",2021,"Asia","Red","Diesel","Automatic",3.7,81153,93065,3131,"Low"
"X3",2012,"Asia","Silver","Electric","Automatic",4.2,204384,69296,3704,"High"
"7 Series",2024,"Middle East","Blue","Petrol","Manual",4.2,38303,111276,3162,"Low"
"3 Series",2024,"South America","Silver","Hybrid","Manual",2.8,8778,97345,4265,"High"
"X6",2021,"Europe","Grey","Diesel","Manual",3.5,70240,91324,3216,"Low"
"5 Series",2017,"Middle East","Red","Hybrid","Automatic",3.1,144763,71539,3691,"High"
"7 Series",2021,"Asia","Red","Hybrid","Manual",4.5,62029,89595,3964,"High"
"i3",2024,"South America","Red","Electric","Manual",4.6,10435,96541,2722,"Low"
"X1",2024,"Europe","Red","Petrol","Automatic",2.7,1000,100526,2839,"Low"
"i3",2023,"North America","Silver","Electric","Automatic",1.8,45993,94351,928,"Low"
"X1",2024,"Europe","Black","Petrol","Manual",2.1,27654,88353,2730,"Low"
"X3",2016,"North America","Grey","Electric","Manual",2.8,95566,80205,4182,"High"
"X3",2020,"Middle East","Grey","Petrol","Manual",3.5,123424,75709,5006,"High"
"M3",2024,"North America","Grey","Hybrid","Automatic",3.8,1000,105685,1841,"Low"
"M5",2024,"North America","Black","Diesel","Manual",2.7,37558,98083,1861,"Low"
"7 Series",2016,"South America","Silver","Petrol","Manual",3.8,127602,68098,3851,"High"
"7 Series",2017,"North America","Grey","Diesel","Automatic",4.8,106205,84404,5082,"High"
"X6",2020,"Europe","Red","Hybrid","Manual",3.8,88281,80464,4199,"High"
"i8",2022,"Middle East","Grey","Petrol","Manual",2.1,61389,79017,4793,"High"
"M5",2021,"North America","Grey","Hybrid","Automatic",3.5,94334,92768,2608,"Low"
"M5",2021,"South America","White","Petrol","Manual",3.4,56617,94146,1011,"Low"
"X6",2019,"South America","White","Hybrid","Manual",4.5,74805,88470,3134,"Low"
"i8",2023,"Middle East","Grey","Diesel","Automatic",2.7,25962,96352,1849,"Low"
"X3",2021,"Europe","Red","Hybrid","Manual",3,86097,94528,2976,"Low"
"i8",2021,"Middle East","Black","Electric","Manual",3.6,50181,87386,3231,"Low"
"X5",2015,"Middle East","Black","Hybrid","Automatic",3.3,159922,72752,4751,"High"
"X3",2013,"North America","Silver","Hybrid","Automatic",4,190951,55404,5203,"High"
"i3",2021,"Africa","Black","Diesel","Manual",1.6,51592,84928,2637,"Low"
"i3",2024,"Asia","Silver","Electric","Manual",3.5,1000,104300,785,"Low"
"X6",2022,"Asia","White","Electric","Manual",1.9,43834,93483,2295,"Low"
"X5",2018,"Asia","Blue","Hybrid","Automatic",2.6,121185,83948,2281,"Low"
"i8",2023,"Europe","Red","Hybrid","Automatic",3.8,53060,92088,1786,"Low"
"X5",2015,"Africa","Blue","Electric","Manual",2.1,140264,72783,4831,"High"
"X1",2011,"Asia","Silver","Diesel","Manual",2.6,228832,52870,6489,"High"
"3 Series",2022,"Middle East","Red","Hybrid","Automatic",4,84301,90493,2908,"Low"
"M5",2019,"Europe","Black","Diesel","Manual",3.8,104415,79758,3540,"High"
"i3",2018,"Africa","Grey","Hybrid","Manual",1.8,97490,72139,4360,"High"
"M5",2013,"Asia","Red","Diesel","Automatic",3.5,197121,62646,4779,"High"
"X1",2016,"Middle East","Silver","Diesel","Manual",2,132552,71025,2938,"Low"
"7 Series",2020,"North America","Grey","Electric","Manual",2.4,84927,84298,4409,"High"
"7 Series",2024,"Africa","Blue","Diesel","Automatic",3.1,4839,98482,1666,"Low"
"i8",2017,"Asia","Grey","Petrol","Automatic",1.9,139773,72787,2467,"Low"
"7 Series",2017,"Europe","Red","Electric","Manual",5,106087,81015,5559,"High"
"7 Series",2024,"Africa","Grey","Petrol","Automatic",2.1,9517,104750,3170,"Low"
"X3",2021,"Africa","Blue","Electric","Automatic",4.2,67759,84373,3057,"Low"
"i8",2015,"Europe","Black","Petrol","Automatic",4.4,148506,72029,2775,"Low"
"i3",2020,"North America","Silver","Electric","Manual",5,70547,81823,3045,"Low"
"7 Series",2021,"Middle East","Grey","Petrol","Automatic",3,78888,88374,3269,"Low"
"M3",2016,"Middle East","Blue","Diesel","Manual",4.6,148342,75866,3564,"High"
"i8",2018,"South America","Grey","Diesel","Automatic",4.9,101908,89785,3171,"Low"
"5 Series",2013,"Europe","White","Petrol","Automatic",2.1,173835,59770,5042,"High"
"3 Series",2020,"South America","Grey","Hybrid","Automatic",3.2,66932,82262,5699,"High"
"X6",2023,"Europe","Blue","Diesel","Automatic",1.7,35669,94920,2143,"Low"
"X5",2024,"South America","Grey","Petrol","Manual",3.7,47117,106363,906,"Low"
"M5",2022,"Asia","Blue","Petrol","Manual",3.5,51152,94847,2429,"Low"
"X6",2017,"North America","Red","Diesel","Automatic",2.2,157534,70413,5282,"High"
"3 Series",2018,"Africa","Grey","Diesel","Manual",4.3,111200,77468,3675,"High"
"5 Series",2019,"Asia","Blue","Electric","Manual",1.6,126609,53575,5194,"High"
"X3",2024,"Middle East","Grey","Electric","Automatic",4.3,1000,102797,1547,"Low"
"7 Series",2012,"North America","Silver","Petrol","Automatic",1.6,215324,44039,6126,"High"
"X5",2011,"Middle East","Black","Petrol","Manual",3.8,248692,48263,6661,"High"
"M3",2023,"Asia","Blue","Diesel","Manual",1.8,16575,80852,4645,"High"
"X6",2018,"North America","White","Petrol","Manual",2.4,89811,70044,3267,"Low"
"X3",2017,"Asia","Black","Diesel","Manual",4,109404,72269,5397,"High"
"i8",2012,"North America","White","Electric","Automatic",2.5,190044,57066,6488,"High"
"5 Series",2019,"Middle East","Grey","Petrol","Automatic",3.3,85365,81878,3858,"High"
"X5",2018,"Europe","Silver","Petrol","Automatic",4.7,94603,84647,4232,"High"
"X6",2020,"Europe","Silver","Hybrid","Manual",1.7,69341,80284,5623,"High"
"X5",2014,"South America","Red","Petrol","Automatic",4.3,179381,79151,3594,"High"
"X6",2018,"Africa","Silver","Petrol","Manual",1.7,135591,61425,2438,"Low"
"7 Series",2022,"South America","Blue","Petrol","Automatic",1.9,61549,93232,1311,"Low"
"X6",2021,"South America","Red","Hybrid","Manual",1.9,68749,80692,2956,"Low"
"M5",2013,"Asia","Blue","Diesel","Manual",5,174589,70389,2917,"Low"
"i3",2013,"South America","White","Hybrid","Automatic",2.1,169837,58954,6496,"High"
"i3",2018,"South America","Grey","Hybrid","Automatic",4.6,117168,92391,2562,"Low"
"M5",2015,"Europe","Black","Electric","Manual",5,149149,75116,3792,"High"
"M5",2020,"South America","White","Diesel","Manual",2.8,80368,81254,3290,"High"
"i3",2023,"North America","Silver","Hybrid","Manual",3.7,29186,84772,2365,"Low"
"X5",2020,"North America","White","Petrol","Automatic",4.2,66538,90627,2251,"Low"
"i3",2021,"Africa","Blue","Petrol","Automatic",2.9,57013,95215,3104,"Low"
"3 Series",2020,"Asia","Black","Petrol","Manual",2.1,61152,76225,4240,"High"
"3 Series",2020,"North America","Silver","Hybrid","Automatic",3,71930,92776,1920,"Low"
"X6",2011,"Middle East","Black","Electric","Automatic",4.2,199314,59731,4850,"High"
"5 Series",2023,"South America","Red","Hybrid","Manual",4.2,36161,105025,2941,"Low"
"i3",2022,"North America","Black","Petrol","Manual",2.3,42173,87413,4564,"High"
"M5",2013,"Europe","Red","Hybrid","Automatic",2.1,185595,61491,4842,"High"
"7 Series",2022,"Middle East","Black","Electric","Automatic",4.7,43637,92265,2859,"Low"
"M3",2012,"North America","Grey","Diesel","Manual",1.7,199426,48410,5223,"High"
"X1",2023,"Africa","Grey","Petrol","Manual",4.1,25531,100932,4006,"High"
"3 Series",2018,"Asia","White","Hybrid","Automatic",1.7,117872,78515,3259,"Low"
"7 Series",2022,"Europe","White","Petrol","Manual",4.4,37073,100218,2723,"Low"
"X1",2021,"Africa","Red","Hybrid","Automatic",4.7,88513,92114,1757,"Low"
"5 Series",2018,"Europe","Black","Diesel","Automatic",2.5,94489,84667,3417,"High"
"5 Series",2021,"Europe","Red","Petrol","Manual",1.8,63648,67091,4415,"High"
"5 Series",2023,"Europe","Silver","Petrol","Manual",3.2,54873,86600,2041,"Low"
"X3",2013,"South America","Blue","Diesel","Manual",2.5,205255,48343,4366,"High"
"M5",2023,"Asia","Red","Electric","Manual",3,56388,91526,2393,"Low"
"3 Series",2020,"Europe","Grey","Petrol","Manual",3.8,96633,81493,4033,"High"
"X3",2017,"Middle East","Black","Petrol","Manual",2.2,103833,66669,4252,"High"
"5 Series",2018,"Asia","Red","Diesel","Automatic",2.7,82027,74453,4798,"High"
"7 Series",2020,"Europe","Black","Diesel","Automatic",4.2,73677,99402,2863,"Low"
"i8",2020,"Middle East","Grey","Petrol","Manual",3.8,83102,84281,2924,"Low"
"i3",2024,"Middle East","Red","Diesel","Manual",2.6,16949,95902,2688,"Low"
"3 Series",2017,"South America","Black","Electric","Automatic",3.8,170721,78558,3954,"High"
"7 Series",2016,"North America","Silver","Hybrid","Automatic",4.2,141743,81226,2770,"Low"
"i3",2016,"Africa","Blue","Petrol","Manual",3.6,176264,67206,5523,"High"
"X3",2013,"North America","White","Diesel","Automatic",2.3,168969,61607,5760,"High"
"M5",2015,"Africa","Red","Petrol","Manual",1.5,172009,52383,6315,"High"
"3 Series",2011,"Africa","Grey","Electric","Manual",4.3,247583,50658,5920,"High"
"X5",2016,"South America","Black","Diesel","Manual",4.4,127479,76406,5050,"High"
"X1",2010,"Europe","Silver","Electric","Manual",3.9,197158,59557,5902,"High"
"i3",2016,"Africa","Blue","Diesel","Manual",1.8,113530,68352,3523,"High"
"X1",2022,"South America","Blue","Hybrid","Automatic",3.5,52466,97744,3788,"High"
"3 Series",2023,"Africa","Silver","Electric","Manual",4.4,39517,100296,2644,"Low"
"M5",2020,"Asia","Silver","Diesel","Automatic",2.9,77899,93417,419,"Low"
"3 Series",2013,"South America","Blue","Hybrid","Automatic",2.2,166507,58136,5018,"High"
"X3",2018,"South America","White","Petrol","Automatic",3.6,121462,85789,3174,"Low"
"X5",2022,"North America","Silver","Hybrid","Automatic",4.4,70938,97161,1049,"Low"
"X6",2014,"Europe","Silver","Diesel","Automatic",1.7,200088,54888,5723,"High"
"i3",2022,"Asia","Blue","Hybrid","Manual",3.6,66746,93017,1466,"Low"
"X1",2013,"Asia","Grey","Hybrid","Automatic",3.8,230978,60777,5276,"High"
"5 Series",2021,"Middle East","Grey","Petrol","Manual",3.6,80278,98003,1591,"Low"
"5 Series",2024,"Middle East","Black","Petrol","Automatic",3.8,9593,110426,381,"Low"
"i8",2016,"Middle East","Silver","Diesel","Manual",3.7,166376,67215,3870,"High"
"X3",2015,"Europe","Blue","Hybrid","Manual",2,150899,59814,3946,"High"
"7 Series",2021,"Middle East","Blue","Diesel","Automatic",2.3,67170,88137,3842,"High"
"3 Series",2012,"South America","Blue","Petrol","Manual",3.7,183335,62596,6012,"High"
"X1",2022,"Middle East","Grey","Electric","Manual",1.6,41620,89337,3984,"High"
"X1",2015,"Africa","Red","Petrol","Automatic",3.7,151653,72226,3516,"High"
"X5",2018,"Asia","White","Petrol","Automatic",3.8,151573,67317,5131,"High"
"3 Series",2022,"South America","Black","Electric","Automatic",2.3,30717,97713,3006,"Low"
"3 Series",2017,"South America","Red","Electric","Automatic",3.6,106775,82709,4581,"High"
"i3",2023,"Asia","Black","Petrol","Automatic",3.4,35396,100905,2046,"Low"
"3 Series",2021,"Asia","Grey","Diesel","Manual",2.4,60746,92847,3284,"Low"
"X1",2018,"Europe","Blue","Hybrid","Manual",3.1,107154,83320,3742,"High"
"3 Series",2021,"Europe","White","Electric","Automatic",4.7,54306,98314,2106,"Low"
"X5",2021,"Africa","White","Electric","Manual",3,57509,91645,3621,"High"
"X5",2014,"Africa","White","Electric","Automatic",3.7,169618,61721,4248,"High"
"i3",2019,"Middle East","Blue","Diesel","Manual",1.6,104322,71948,4399,"High"
"5 Series",2014,"South America","Blue","Electric","Manual",1.8,191483,67319,5196,"High"
"X3",2012,"Africa","Black","Petrol","Manual",1.8,232130,36450,8331,"High"
"M5",2023,"North America","Grey","Petrol","Manual",4.2,66673,92086,5707,"High"
"X3",2022,"Europe","Black","Petrol","Manual",2.7,53121,92440,1749,"Low"
"3 Series",2017,"Africa","Black","Petrol","Automatic",2.3,126133,64381,4469,"High"
"X5",2024,"Europe","Blue","Diesel","Manual",4.1,18667,99964,3212,"Low"
"X1",2021,"Middle East","White","Electric","Automatic",2.1,58143,84646,3805,"High"
"3 Series",2019,"Europe","Red","Hybrid","Manual",2.4,114025,78758,2996,"Low"
"X1",2023,"South America","Grey","Diesel","Automatic",3,14606,91705,2855,"Low"
"M3",2024,"South America","White","Petrol","Automatic",2.7,21297,90599,1804,"Low"
"M5",2020,"Europe","Red","Petrol","Automatic",3.5,40099,85450,3256,"Low"
"X3",2022,"North America","Grey","Electric","Manual",2.7,42930,98378,240,"Low"
"X3",2021,"Asia","Blue","Petrol","Automatic",2.9,60601,92696,1903,"Low"
"M3",2023,"Asia","Silver","Electric","Manual",4.5,7657,88339,3286,"High"
"X3",2020,"South America","White","Hybrid","Manual",4.6,47320,90829,3095,"Low"
"M3",2021,"Africa","Blue","Diesel","Manual",4.4,61257,89011,3204,"Low"
"X3",2019,"Asia","Grey","Hybrid","Manual",4.5,136547,80565,4696,"High"
"X6",2015,"South America","Blue","Petrol","Automatic",3.5,114572,77537,4245,"High"
"3 Series",2015,"Asia","White","Hybrid","Manual",3.8,172016,70264,3942,"High"
"5 Series",2015,"Asia","Black","Diesel","Automatic",3.5,149454,73991,4013,"High"
"3 Series",2019,"Asia","Silver","Hybrid","Automatic",4.2,71065,91841,3095,"Low"
"X1",2016,"Asia","White","Hybrid","Automatic",3.4,148832,68654,3625,"High"
"X5",2023,"Asia","Silver","Electric","Automatic",1.9,20854,92448,2454,"Low"
"i8",2023,"North America","Blue","Electric","Manual",4.3,48033,106755,1305,"Low"
"X3",2019,"Middle East","Grey","Electric","Manual",4.2,91864,79530,1816,"Low"
"X1",2024,"Middle East","Blue","Diesel","Automatic",4.4,39675,104009,1913,"Low"
"X1",2017,"North America","Grey","Petrol","Automatic",2.2,145988,77952,2596,"Low"
"7 Series",2018,"Asia","Red","Hybrid","Manual",2.5,125492,65240,5457,"High"
"i8",2012,"North America","Blue","Hybrid","Manual",2.5,222492,42648,6968,"High"
"X1",2012,"Asia","Silver","Petrol","Manual",3.3,215001,58129,6959,"High"
"i8",2022,"South America","Red","Hybrid","Automatic",2,56420,86779,3120,"Low"
"7 Series",2024,"Asia","White","Petrol","Automatic",2.8,40385,88099,2754,"Low"
"i8",2014,"Asia","Red","Petrol","Manual",2.1,194525,47492,5312,"High"
"X6",2020,"South America","Blue","Diesel","Automatic",2.4,91718,69399,4240,"High"
"X5",2019,"North America","Blue","Hybrid","Manual",4,159972,84897,2562,"Low"
"7 Series",2015,"Africa","Silver","Electric","Manual",4.5,188169,69401,4466,"High"
"X6",2012,"Asia","Red","Petrol","Automatic",1.6,206419,52114,4626,"High"
"M5",2014,"North America","Black","Petrol","Automatic",3.5,125120,76395,4634,"High"
"X3",2022,"Africa","Silver","Hybrid","Automatic",1.6,40760,88692,3369,"High"
"X1",2018,"North America","Black","Electric","Manual",1.8,96096,67790,4953,"High"
"M5",2019,"North America","Silver","Electric","Automatic",4,89248,90608,5308,"High"
"M5",2023,"North America","White","Petrol","Manual",4.1,57204,85086,6184,"High"
"3 Series",2024,"North America","Blue","Petrol","Manual",4.3,32427,101981,749,"Low"
"5 Series",2017,"Europe","Blue","Diesel","Manual",3.2,104906,82703,4648,"High"
"X1",2016,"Africa","White","Petrol","Automatic",4.5,148333,79556,3371,"High"
"3 Series",2019,"South America","White","Petrol","Automatic",2.1,111338,77630,4755,"High"
"M3",2022,"Africa","Black","Hybrid","Manual",2.4,70410,90554,1068,"Low"
"X3",2023,"North America","Black","Electric","Manual",2,8705,93429,2791,"Low"
"X1",2021,"Africa","White","Electric","Automatic",4.3,90968,81341,3742,"High"
"i8",2024,"Africa","Silver","Hybrid","Manual",2.3,1000,103995,1459,"Low"
"3 Series",2014,"South America","Black","Electric","Automatic",2,173524,59709,6166,"High"
"5 Series",2018,"Europe","Silver","Electric","Manual",3.7,90879,88207,4608,"High"
"M3",2024,"Africa","White","Hybrid","Manual",1.8,3693,85816,3330,"High"
"X3",2015,"Asia","Silver","Hybrid","Manual",1.7,197856,51212,5924,"High"
"i3",2017,"Asia","Red","Diesel","Manual",1.9,111422,65409,3761,"High"
"7 Series",2021,"North America","White","Hybrid","Manual",1.5,60514,74125,3091,"Low"
"X1",2023,"Asia","Black","Hybrid","Manual",3.9,54993,95567,1672,"Low"
"X1",2019,"South America","Blue","Hybrid","Manual",3.5,113914,79442,4342,"High"
"X5",2021,"Africa","Black","Diesel","Automatic",2.2,52129,88840,2553,"Low"
"X5",2021,"South America","White","Diesel","Manual",2.3,104330,73875,3783,"High"
"7 Series",2022,"South America","Black","Petrol","Manual",4.3,31283,97671,2825,"Low"
"X1",2024,"Europe","White","Hybrid","Automatic",3.3,40747,89130,3705,"High"
"i8",2022,"Europe","Red","Diesel","Manual",3.9,6076,106314,1326,"Low"
"M3",2022,"Asia","Blue","Diesel","Automatic",3.1,51673,99417,3041,"Low"
"7 Series",2016,"Asia","Blue","Diesel","Automatic",2.3,160802,66130,3196,"Low"
"X5",2012,"North America","White","Petrol","Manual",4.9,191795,72662,3649,"High"
"3 Series",2018,"Asia","Blue","Diesel","Automatic",3.5,142250,76070,5245,"High"
"M5",2012,"Asia","Black","Electric","Automatic",2,211559,49831,4570,"High"
"X3",2012,"Middle East","Red","Diesel","Automatic",2.9,204279,59493,5891,"High"
"M3",2024,"Europe","Blue","Hybrid","Automatic",2.7,14867,96054,1818,"Low"
"X3",2019,"South America","Blue","Electric","Automatic",2.2,48700,87346,5210,"High"
"X5",2023,"Africa","Silver","Petrol","Automatic",4.8,1000,108309,1179,"Low"
"X5",2023,"North America","Grey","Diesel","Manual",4.6,18985,93019,3174,"Low"
"M3",2018,"South America","Grey","Petrol","Manual",2.2,106684,78374,3086,"Low"
"7 Series",2020,"South America","Silver","Hybrid","Manual",2.7,84595,81992,5631,"High"
"X1",2021,"South America","Blue","Diesel","Manual",4.2,56023,100798,2742,"Low"
"i3",2014,"North America","Grey","Electric","Automatic",2.2,164794,65759,5702,"High"
"M5",2020,"South America","Black","Electric","Manual",3.6,61892,85900,4274,"High"
"i3",2020,"Europe","Grey","Electric","Manual",3.9,72034,88858,5106,"High"
"5 Series",2013,"Middle East","Silver","Petrol","Manual",3.8,205722,65338,4451,"High"
"M3",2018,"Europe","White","Petrol","Manual",4,109515,81196,3247,"Low"
"M3",2024,"Europe","Black","Hybrid","Manual",4,1000,93382,2699,"Low"
"M5",2021,"Europe","Red","Diesel","Manual",4.9,66442,90584,2335,"Low"
"X5",2024,"North America","White","Diesel","Manual",2.7,5092,100560,2273,"Low"
"3 Series",2024,"Africa","Black","Petrol","Manual",4.6,11405,104251,395,"Low"
"i3",2024,"Africa","White","Diesel","Manual",1.6,22333,92505,1729,"Low"
"X3",2022,"Africa","Red","Diesel","Manual",2.5,75921,88371,3971,"High"
"i3",2022,"Europe","White","Hybrid","Automatic",1.7,51465,95273,2937,"Low"
"X3",2016,"South America","Red","Electric","Manual",3.8,148986,79201,3665,"High"
"i8",2017,"Africa","Red","Diesel","Manual",1.9,134084,64143,4915,"High"
"i8",2017,"Europe","Blue","Petrol","Manual",4.5,142181,75559,4756,"High"
"5 Series",2019,"Asia","Blue","Hybrid","Automatic",3.8,89715,91936,2683,"Low"
"M3",2013,"Middle East","Blue","Electric","Manual",1.6,183844,52261,6256,"High"
"3 Series",2021,"South America","Grey","Diesel","Manual",4,43955,96914,1015,"Low"
"M3",2018,"North America","Silver","Petrol","Manual",4.5,105178,75120,4817,"High"
"X6",2015,"Asia","Black","Hybrid","Automatic",3.8,178710,66836,4398,"High"
"X1",2018,"Africa","Grey","Diesel","Automatic",1.6,79889,72150,4964,"High"
"i3",2023,"South America","White","Hybrid","Automatic",4.5,58967,100947,3361,"High"
"M5",2021,"Asia","White","Petrol","Automatic",4.1,83698,105250,2519,"Low"
"M5",2022,"Middle East","Grey","Diesel","Automatic",2.8,84387,85164,1816,"Low"
"i3",2018,"South America","Grey","Diesel","Automatic",2.7,109075,86969,1598,"Low"
"M5",2023,"Asia","Silver","Diesel","Automatic",3.2,58929,92450,2565,"Low"
"M3",2022,"South America","Grey","Petrol","Manual",4.5,40301,101112,2636,"Low"
"i8",2023,"Asia","Black","Hybrid","Automatic",2.4,24473,94293,2880,"Low"
"M3",2023,"North America","Grey","Electric","Automatic",1.9,35844,87750,2942,"Low"
"3 Series",2021,"Middle East","Red","Petrol","Manual",4.5,64681,97588,2599,"Low"
"i3",2024,"South America","Blue","Hybrid","Manual",1.6,38658,102115,1023,"Low"
"X6",2022,"Europe","White","Hybrid","Manual",4.7,51323,92017,5290,"High"
"X6",2022,"South America","Grey","Diesel","Manual",2.6,35750,87658,3894,"High"
"i3",2018,"Europe","Silver","Hybrid","Automatic",3.3,112623,89182,2931,"Low"
"M5",2015,"Africa","Grey","Petrol","Automatic",2,180149,62467,3933,"High"
"X3",2017,"Middle East","Grey","Diesel","Automatic",4.7,155847,81202,2088,"Low"
"3 Series",2022,"Middle East","Silver","Petrol","Automatic",4.1,50145,87110,4143,"High"
"M3",2019,"Europe","White","Diesel","Manual",4.7,132805,83318,2515,"Low"
"7 Series",2016,"Africa","Red","Diesel","Manual",3.9,137919,81008,2964,"Low"
"3 Series",2019,"South America","Grey","Hybrid","Automatic",2.1,119943,77675,3679,"High"
"7 Series",2014,"Asia","White","Petrol","Automatic",2.6,201832,49949,4936,"High"
"i8",2015,"Europe","White","Hybrid","Automatic",3.2,158204,67037,5486,"High"
"i3",2022,"Middle East","Silver","Petrol","Automatic",3.6,22672,95781,1444,"Low"
"M5",2023,"Asia","Blue","Hybrid","Automatic",4.7,4221,111428,3616,"High"
"3 Series",2022,"South America","Silver","Petrol","Manual",2.8,65571,79347,3543,"High"
