"Model","Year","Region","Color","Fuel_Type","Transmission","Engine_Size_L","Mileage_KM","Price_USD","Sales_Volume","Sales_Classification"
"X5",2018,"South America","Red","Diesel","Manual",2.2,124277,75116,2266,"Low"
"X3",2019,"Middle East","White","Electric","Automatic",4.1,59100,95260,3109,"Low"
"M3",2023,"Asia","Red","Hybrid","Manual",2,24925,98255,3769,"High"
"X1",2023,"North America","Black","Hybrid","Automatic",3.2,17269,105998,1898,"Low"
"M5",2024,"Asia","Red","Hybrid","Automatic",3,8053,101673,2336,"Low"
"M3",2022,"Asia","White","Electric","Automatic",3.8,61379,92465,2827,"Low"
"i8",2014,"South America","Black","Hybrid","Automatic",4.7,181263,68433,5226,"High"
"i8",2024,"South America","Silver","Diesel","Manual",4.8,20324,101538,1857,"Low"
"M5",2024,"Asia","Red","Diesel","Manual",2.1,21942,91310,2621,"Low"
"i8",2016,"Asia","White","Hybrid","Automatic",2.4,139699,65320,5627,"High"
"X1",2014,"Middle East","Grey","Hybrid","Manual",4.3,135133,74360,4616,"High"
"M5",2017,"South America","Grey","Petrol","Automatic",3.3,115995,81248,3031,"Low"
"X3",2024,"Middle East","White","Petrol","Manual",3.1,33223,95575,3142,"Low"
"i8",2020,"Middle East","Grey","Petrol","Automatic",4,117709,84947,3744,"High"
"M3",2014,"Africa","Black","Petrol","Manual",3.6,146127,71256,6360,"High"
"X5",2022,"Middle East","White","Hybrid","Automatic",4.9,65561,97909,3514,"High"
"i3",2024,"Middle East","Red","Petrol","Automatic",3.5,1873,99333,2224,"Low"
"M5",2020,"South America","White","Diesel","Manual",3.1,70377,79005,4570,"High"
"X5",2021,"Africa","Red","Diesel","Manual",3.4,76387,86379,2667,"Low"
"X5",2017,"Middle East","Black","Petrol","Automatic",4.3,134014,84379,1146,"Low"
"X5",2021,"South America","Black","Hybrid","Manual",3.6,79291,79727,1952,"Low"
"i8",2023,"Europe","Blue","Diesel","Automatic",3.8,36506,102698,1742,"Low"
"i3",2023,"North America","Silver","Petrol","Automatic",4.9,1000,109617,1319,"Low"
"5 Series",2016,"Asia","Blue","Electric","Manual",3.7,136388,80496,3930,"High"
"X6",2023,"Africa","White","Hybrid","Automatic",2.8,16594,100403,1984,"Low"
"i3",2017,"Asia","White","Hybrid","Manual",3.9,122154,77762,5295,"High"
"X3",2015,"Asia","Silver","Hybrid","Automatic",3.8,120848,84639,2924,"Low"
"M3",2020,"Africa","Black","Hybrid","Manual",1.5,74078,81875,3250,"Low"
"i8",2013,"Middle East","White","Petrol","Manual",3.1,194393,57831,4614,"High"
"i3",2014,"South America","Red","Petrol","Manual",4.1,198419,60075,5742,"High"
"i8",2021,"Middle East","Red","Diesel","Automatic",3.2,54588,95619,3517,"High"
"M5",2019,"South America","Red","Electric","Automatic",4.2,92620,95223,1668,"Low"
"X5",2020,"Middle East","Black","Petrol","Manual",3.1,55767,87265,1853,"Low"
"X6",2020,"South America","Silver","Hybrid","Automatic",4.9,92474,86048,4454,"High"
"M3",2020,"Europe","Red","Electric","Manual",2.5,108859,82765,4136,"High"
"3 Series",2022,"Africa","Black","Electric","Manual",1.8,44952,84195,3011,"Low"
"M3",2018,"South America","Grey","Electric","Automatic",3,107607,74750,5450,"High"
"X6",2015,"Middle East","Blue","Diesel","Automatic",3.4,148994,70361,4372,"High"
"i8",2018,"South America","Black","Diesel","Manual",2.7,111335,66695,5599,"High"
"X6",2022,"Asia","Red","Electric","Manual",2.3,19675,87132,2118,"Low"
"3 Series",2020,"North America","Black","Hybrid","Automatic",3.9,83129,87078,3649,"High"
"3 Series",2023,"Europe","Black","Electric","Manual",2.8,14085,99773,100,"Low"
"M3",2016,"Asia","Red","Diesel","Automatic",3.7,121530,78508,2846,"Low"
"X3",2021,"Asia","Silver","Electric","Automatic",4.2,52677,105053,1192,"Low"
"7 Series",2018,"Middle East","Blue","Petrol","Manual",4.2,129882,71501,3640,"High"
"3 Series",2016,"South America","Silver","Hybrid","Manual",2.8,154096,68607,4013,"High"
"X6",2020,"Europe","Grey","Diesel","Manual",3.5,66756,91618,1623,"Low"
"5 Series",2023,"Middle East","Red","Hybrid","Automatic",3.1,11109,102206,2553,"Low"
"7 Series",2024,"Asia","Red","Hybrid","Manual",4.5,35068,95086,1208,"Low"
"i3",2018,"South America","Red","Electric","Manual",4.6,107479,84417,3477,"High"
"X1",2024,"Europe","Red","Petrol","Automatic",2.7,45567,91771,699,"Low"
"i3",2020,"North America","Silver","Electric","Automatic",1.8,89676,82884,3836,"High"
"X1",2015,"Europe","Black","Petrol","Manual",2.1,117584,64312,3036,"Low"
"X3",2015,"North America","Grey","Electric","Manual",2.8,133124,66765,4369,"High"
"X3",2021,"Middle East","Grey","Petrol","Manual",3.5,60454,93742,1576,"Low"
"M3",2018,"North America","Grey","Hybrid","Automatic",3.8,110894,90519,2189,"Low"
"M5",2023,"North America","Black","Diesel","Manual",2.7,66419,92111,3088,"Low"
"7 Series",2021,"South America","Silver","Petrol","Manual",3.8,57045,79143,2811,"Low"
"7 Series",2010,"North America","Grey","Diesel","Automatic",4.8,228137,60638,5561,"High"
"X6",2017,"Europe","Red","Hybrid","Manual",3.8,128965,71403,4744,"High"
"i8",2020,"Middle East","Grey","Petrol","Manual",2.1,70953,76971,4465,"High"
"M5",2019,"North America","Grey","Hybrid","Automatic",3.5,91310,89475,5421,"High"
"M5",2024,"South America","White","Petrol","Manual",3.4,46072,86863,2991,"Low"
"X6",2019,"South America","White","Hybrid","Manual",4.5,68125,83776,4245,"High"
"i8",2021,"Middle East","Grey","Diesel","Automatic",2.7,49214,92716,2650,"Low"
"X3",2023,"Europe","Red","Hybrid","Manual",3,29657,102901,2189,"Low"
"i8",2020,"Middle East","Black","Electric","Manual",3.6,73282,83779,2723,"Low"
"X5",2021,"Middle East","Black","Hybrid","Automatic",3.3,70962,91721,2611,"Low"
"X3",2015,"North America","Silver","Hybrid","Automatic",4,154414,73838,3084,"Low"
"i3",2020,"Africa","Black","Diesel","Manual",1.6,96600,76119,2446,"Low"
"i3",2022,"Asia","Silver","Electric","Manual",3.5,30316,97156,2223,"Low"
"X6",2016,"Asia","White","Electric","Manual",1.9,136356,65122,5680,"High"
"X5",2018,"Asia","Blue","Hybrid","Automatic",2.6,105907,82102,3897,"High"
"i8",2023,"Europe","Red","Hybrid","Automatic",3.8,12382,109689,2315,"Low"
"X5",2023,"Africa","Blue","Electric","Manual",2.1,14600,100083,563,"Low"
"X1",2022,"Asia","Silver","Diesel","Manual",2.6,14608,95922,2980,"Low"
"3 Series",2020,"Middle East","Red","Hybrid","Automatic",4,77185,90332,2595,"Low"
"M5",2011,"Europe","Black","Diesel","Manual",3.8,207670,62305,5879,"High"
"i3",2013,"Africa","Grey","Hybrid","Manual",1.8,193499,59425,4937,"High"
"M5",2024,"Asia","Red","Diesel","Automatic",3.5,19332,108366,1425,"Low"
"X1",2012,"Middle East","Silver","Diesel","Manual",2,191405,46955,4987,"High"
"7 Series",2019,"North America","Grey","Electric","Manual",2.4,107392,77516,3324,"High"
"7 Series",2015,"Africa","Blue","Diesel","Automatic",3.1,162940,68116,4385,"High"
"i8",2018,"Asia","Grey","Petrol","Automatic",1.9,136012,63573,3756,"High"
"7 Series",2020,"Europe","Red","Electric","Manual",5,52504,93775,3557,"High"
"7 Series",2023,"Africa","Grey","Petrol","Automatic",2.1,30060,93803,1524,"Low"
"X3",2024,"Africa","Blue","Electric","Automatic",4.2,24835,103926,445,"Low"
"i8",2024,"Europe","Black","Petrol","Automatic",4.4,25091,102107,1957,"Low"
"i3",2015,"North America","Silver","Electric","Manual",5,135894,65793,3630,"High"
"7 Series",2020,"Middle East","Grey","Petrol","Automatic",3,58965,78467,4010,"High"
"M3",2017,"Middle East","Blue","Diesel","Manual",4.6,142750,83248,5595,"High"
"i8",2023,"South America","Grey","Diesel","Automatic",4.9,51787,107043,1988,"Low"
"5 Series",2022,"Europe","White","Petrol","Automatic",2.1,3849,99801,1966,"Low"
"3 Series",2010,"South America","Grey","Hybrid","Automatic",3.2,237889,56696,4289,"High"
"X6",2015,"Europe","Blue","Diesel","Automatic",1.7,140186,65931,4246,"High"
"X5",2024,"South America","Grey","Petrol","Manual",3.7,23437,105039,1292,"Low"
"M5",2021,"Asia","Blue","Petrol","Manual",3.5,32835,92160,2665,"Low"
"X6",2023,"North America","Red","Diesel","Automatic",2.2,31781,94237,3050,"Low"
"3 Series",2017,"Africa","Grey","Diesel","Manual",4.3,131325,74470,4557,"High"
"5 Series",2022,"Asia","Blue","Electric","Manual",1.6,27284,81125,2405,"Low"
"X3",2013,"Middle East","Grey","Electric","Automatic",4.3,221521,65665,5714,"High"
"7 Series",2021,"North America","Silver","Petrol","Automatic",1.6,74801,78186,4265,"High"
"X5",2021,"Middle East","Black","Petrol","Manual",3.8,70142,84900,5937,"High"
"M3",2023,"Asia","Blue","Diesel","Manual",1.8,34918,92231,1942,"Low"
"X6",2022,"North America","White","Petrol","Manual",2.4,34168,96282,2999,"Low"
"X3",2023,"Asia","Black","Diesel","Manual",4,1000,101897,1568,"Low"
"i8",2014,"North America","White","Electric","Automatic",2.5,139865,72881,2757,"Low"
"5 Series",2021,"Middle East","Grey","Petrol","Automatic",3.3,48893,88635,1041,"Low"
"X5",2017,"Europe","Silver","Petrol","Automatic",4.7,145879,75241,3165,"Low"
"X6",2017,"Europe","Silver","Hybrid","Manual",1.7,111579,74567,2951,"Low"
"X5",2019,"South America","Red","Petrol","Automatic",4.3,87354,80558,4289,"High"
"X6",2017,"Africa","Silver","Petrol","Manual",1.7,131415,57545,5411,"High"
"7 Series",2023,"South America","Blue","Petrol","Automatic",1.9,48677,90911,3505,"High"
"X6",2021,"South America","Red","Hybrid","Manual",1.9,93297,83419,2603,"Low"
"M5",2017,"Asia","Blue","Diesel","Manual",5,99088,85329,3385,"High"
"i3",2020,"South America","White","Hybrid","Automatic",2.1,79209,77279,3934,"High"
"i3",2017,"South America","Grey","Hybrid","Automatic",4.6,131711,74098,3706,"High"
"M5",2016,"Europe","Black","Electric","Manual",5,137271,77363,4011,"High"
"M5",2024,"South America","White","Diesel","Manual",2.8,6674,101702,2569,"Low"
"i3",2021,"North America","Silver","Hybrid","Manual",3.7,98004,77676,4074,"High"
"X5",2024,"North America","White","Petrol","Automatic",4.2,3773,100911,1261,"Low"
"i3",2019,"Africa","Blue","Petrol","Automatic",2.9,85023,88823,3817,"High"
"3 Series",2023,"Asia","Black","Petrol","Manual",2.1,48965,91135,2582,"Low"
"3 Series",2013,"North America","Silver","Hybrid","Automatic",3,163799,62246,6627,"High"
"X6",2015,"Middle East","Black","Electric","Automatic",4.2,131241,75459,3921,"High"
"5 Series",2014,"South America","Red","Hybrid","Manual",4.2,156677,74890,4173,"High"
"i3",2015,"North America","Black","Petrol","Manual",2.3,135965,59272,5720,"High"
"M5",2016,"Europe","Red","Hybrid","Automatic",2.1,163990,67276,3885,"High"
"7 Series",2022,"Middle East","Black","Electric","Automatic",4.7,62203,99114,1897,"Low"
"M3",2023,"North America","Grey","Diesel","Manual",1.7,50542,87376,2963,"Low"
"X1",2021,"Africa","Grey","Petrol","Manual",4.1,51794,92985,3700,"High"
"3 Series",2021,"Asia","White","Hybrid","Automatic",1.7,78324,86002,3700,"High"
"7 Series",2018,"Europe","White","Petrol","Manual",4.4,121159,80942,3397,"High"
"X1",2018,"Africa","Red","Hybrid","Automatic",4.7,103480,80959,5226,"High"
"5 Series",2021,"Europe","Black","Diesel","Automatic",2.5,29094,96390,1277,"Low"
"5 Series",2012,"Europe","Red","Petrol","Manual",1.8,239749,50077,5150,"High"
"5 Series",2023,"Europe","Silver","Petrol","Manual",3.2,50995,92432,3061,"Low"
"X3",2022,"South America","Blue","Diesel","Manual",2.5,26546,94648,3414,"High"
"M5",2019,"Asia","Red","Electric","Manual",3,104860,82596,3752,"High"
"3 Series",2019,"Europe","Grey","Petrol","Manual",3.8,128612,81708,801,"Low"
"X3",2022,"Middle East","Black","Petrol","Manual",2.2,17332,86004,4756,"High"
"5 Series",2012,"Asia","Red","Diesel","Automatic",2.7,205574,61573,4516,"High"
"7 Series",2022,"Europe","Black","Diesel","Automatic",4.2,58919,100621,2378,"Low"
"i8",2023,"Middle East","Grey","Petrol","Manual",3.8,50796,96604,2438,"Low"
"i3",2016,"Middle East","Red","Diesel","Manual",2.6,140598,69785,6090,"High"
"3 Series",2014,"South America","Black","Electric","Automatic",3.8,172249,79733,4504,"High"
"7 Series",2024,"North America","Silver","Hybrid","Automatic",4.2,34874,113026,2241,"Low"
"i3",2020,"Africa","Blue","Petrol","Manual",3.6,54015,87991,4354,"High"
"X3",2022,"North America","White","Diesel","Automatic",2.3,48884,93614,2817,"Low"
"M5",2018,"Africa","Red","Petrol","Manual",1.5,90948,73131,2708,"Low"
"3 Series",2017,"Africa","Grey","Electric","Manual",4.3,121393,71925,5177,"High"
"X5",2024,"South America","Black","Diesel","Manual",4.4,1000,107971,1141,"Low"
"X1",2024,"Europe","Silver","Electric","Manual",3.9,18356,96699,2498,"Low"
"i3",2011,"Africa","Blue","Diesel","Manual",1.8,228498,37871,8275,"High"
"X1",2024,"South America","Blue","Hybrid","Automatic",3.5,15689,94688,2589,"Low"
"3 Series",2023,"Africa","Silver","Electric","Manual",4.4,14814,96949,1880,"Low"
"M5",2021,"Asia","Silver","Diesel","Automatic",2.9,91388,86044,3524,"High"
"3 Series",2016,"South America","Blue","Hybrid","Automatic",2.2,128221,71504,3894,"High"
"X3",2016,"South America","White","Petrol","Automatic",3.6,161783,77232,3896,"High"
"X5",2015,"North America","Silver","Hybrid","Automatic",4.4,147900,79915,2740,"Low"
"X6",2016,"Europe","Silver","Diesel","Automatic",1.7,157944,54589,5599,"High"
"i3",2021,"Asia","Blue","Hybrid","Manual",3.6,61226,89611,2637,"Low"
"X1",2013,"Asia","Grey","Hybrid","Automatic",3.8,205271,45577,5706,"High"
"5 Series",2023,"Middle East","Grey","Petrol","Manual",3.6,1000,99810,1804,"Low"
"5 Series",2021,"Middle East","Black","Petrol","Automatic",3.8,67735,98949,2508,"Low"
"i8",2014,"Middle East","Silver","Diesel","Manual",3.7,183639,59576,5613,"High"
"X3",2021,"Europe","Blue","Hybrid","Manual",2,101800,77467,5793,"High"
"7 Series",2021,"Middle East","Blue","Diesel","Automatic",2.3,27767,90790,2747,"Low"
"3 Series",2024,"South America","Blue","Petrol","Manual",3.7,1000,110664,3421,"High"
"X1",2016,"Middle East","Grey","Electric","Manual",1.6,168707,63551,4910,"High"
"X1",2023,"Africa","Red","Petrol","Automatic",3.7,33870,95731,1593,"Low"
"X5",2012,"Asia","White","Petrol","Automatic",3.8,201070,63501,5852,"High"
"3 Series",2022,"South America","Black","Electric","Automatic",2.3,32606,87828,2962,"Low"
"3 Series",2021,"South America","Red","Electric","Automatic",3.6,31429,101191,1226,"Low"
"i3",2024,"Asia","Black","Petrol","Automatic",3.4,36323,93850,3349,"High"
"3 Series",2020,"Asia","Grey","Diesel","Manual",2.4,92276,77631,3812,"High"
"X1",2021,"Europe","Blue","Hybrid","Manual",3.1,85329,82136,4847,"High"
"3 Series",2017,"Europe","White","Electric","Automatic",4.7,106777,89413,4062,"High"
"X5",2021,"Africa","White","Electric","Manual",3,69230,80829,4023,"High"
"X5",2018,"Africa","White","Electric","Automatic",3.7,115492,79818,3423,"High"
"i3",2015,"Middle East","Blue","Diesel","Manual",1.6,130941,64774,5649,"High"
"5 Series",2021,"South America","Blue","Electric","Manual",1.8,71485,75254,3022,"Low"
"X3",2024,"Africa","Black","Petrol","Manual",1.8,1000,95542,2264,"Low"
"M5",2021,"North America","Grey","Petrol","Manual",4.2,68889,88716,3006,"Low"
"X3",2013,"Europe","Black","Petrol","Manual",2.7,189484,63885,4665,"High"
"3 Series",2021,"Africa","Black","Petrol","Automatic",2.3,62442,93568,2721,"Low"
"X5",2022,"Europe","Blue","Diesel","Manual",4.1,101796,82645,4495,"High"
"X1",2012,"Middle East","White","Electric","Automatic",2.1,225351,44296,6269,"High"
"3 Series",2012,"Europe","Red","Hybrid","Manual",2.4,200483,53187,6012,"High"
"X1",2019,"South America","Grey","Diesel","Automatic",3,123385,84229,3691,"High"
"M3",2015,"South America","White","Petrol","Automatic",2.7,157381,71010,3282,"High"
"M5",2016,"Europe","Red","Petrol","Automatic",3.5,163565,81328,2652,"Low"
"X3",2017,"North America","Grey","Electric","Manual",2.7,89340,80175,2886,"Low"
"X3",2022,"Asia","Blue","Petrol","Automatic",2.9,71540,91879,2126,"Low"
"M3",2017,"Asia","Silver","Electric","Manual",4.5,141794,87260,2617,"Low"
"X3",2020,"South America","White","Hybrid","Manual",4.6,87025,88730,4317,"High"
"M3",2024,"Africa","Blue","Diesel","Manual",4.4,34183,105465,3189,"Low"
"X3",2014,"Asia","Grey","Hybrid","Manual",4.5,158661,76787,2625,"Low"
"X6",2016,"South America","Blue","Petrol","Automatic",3.5,134357,75491,2854,"Low"
"3 Series",2018,"Asia","White","Hybrid","Manual",3.8,96116,75521,4064,"High"
"5 Series",2022,"Asia","Black","Diesel","Automatic",3.5,68859,93007,3373,"High"
"3 Series",2019,"Asia","Silver","Hybrid","Automatic",4.2,94526,85928,2098,"Low"
"X1",2023,"Asia","White","Hybrid","Automatic",3.4,31785,92055,2728,"Low"
"X5",2022,"Asia","Silver","Electric","Automatic",1.9,35617,89437,2973,"Low"
"i8",2015,"North America","Blue","Electric","Manual",4.3,141255,75473,3243,"Low"
"X3",2022,"Middle East","Grey","Electric","Manual",4.2,61138,90016,2897,"Low"
"X1",2021,"Middle East","Blue","Diesel","Automatic",4.4,43871,101361,4114,"High"
"X1",2020,"North America","Grey","Petrol","Automatic",2.2,87710,67618,3191,"Low"
"7 Series",2016,"Asia","Red","Hybrid","Manual",2.5,141635,69490,2323,"Low"
"i8",2021,"North America","Blue","Hybrid","Manual",2.5,81766,83340,4557,"High"
"X1",2018,"Asia","Silver","Petrol","Manual",3.3,93148,84586,3924,"High"
"i8",2014,"South America","Red","Hybrid","Automatic",2,154873,58528,4639,"High"
"7 Series",2012,"Asia","White","Petrol","Automatic",2.8,230597,51423,6881,"High"
"i8",2011,"Asia","Red","Petrol","Manual",2.1,197231,54694,5731,"High"
"X6",2022,"South America","Blue","Diesel","Automatic",2.4,49808,87491,5444,"High"
"X5",2017,"North America","Blue","Hybrid","Manual",4,135421,76987,3466,"High"
"7 Series",2018,"Africa","Silver","Electric","Manual",4.5,72945,85526,2529,"Low"
"X6",2018,"Asia","Red","Petrol","Automatic",1.6,102105,74952,3952,"High"
"M5",2022,"North America","Black","Petrol","Automatic",3.5,54275,95988,4575,"High"
"X3",2015,"Africa","Silver","Hybrid","Automatic",1.6,174540,56830,5945,"High"
"X1",2022,"North America","Black","Electric","Manual",1.8,55434,81635,4107,"High"
"M5",2024,"North America","Silver","Electric","Automatic",4,41226,103383,853,"Low"
"M5",2024,"North America","White","Petrol","Manual",4.1,4680,102900,1109,"Low"
"3 Series",2020,"North America","Blue","Petrol","Manual",4.3,96539,97703,190,"Low"
"5 Series",2023,"Europe","Blue","Diesel","Manual",3.2,40777,90542,2236,"Low"
"X1",2024,"Africa","White","Petrol","Automatic",4.5,25929,107715,2385,"Low"
"3 Series",2024,"South America","White","Petrol","Automatic",2.1,1000,95691,2705,"Low"
"M3",2019,"Africa","Black","Hybrid","Manual",2.4,67288,88073,1601,"Low"
"X3",2024,"North America","Black","Electric","Manual",2,15066,97379,3438,"High"
"X1",2024,"Africa","White","Electric","Automatic",4.3,27423,109943,800,"Low"
"i8",2021,"Africa","Silver","Hybrid","Manual",2.3,42993,87436,4432,"High"
"3 Series",2022,"South America","Black","Electric","Automatic",2,1000,90762,4638,"High"
"5 Series",2020,"Europe","Silver","Electric","Manual",3.7,107437,81023,2146,"Low"
"M3",2014,"Africa","White","Hybrid","Manual",1.8,171968,52873,5742,"High"
"X3",2022,"Asia","Silver","Hybrid","Manual",1.7,42543,86230,3605,"High"
"i3",2017,"Asia","Red","Diesel","Manual",1.9,144203,69999,3012,"Low"
"7 Series",2016,"North America","White","Hybrid","Manual",1.5,141613,58031,6591,"High"
"X1",2013,"Asia","Black","Hybrid","Manual",3.9,199313,50274,6005,"High"
"X1",2022,"South America","Blue","Hybrid","Manual",3.5,27086,97344,2371,"Low"
"X5",2023,"Africa","Black","Diesel","Automatic",2.2,21351,94380,2777,"Low"
"X5",2024,"South America","White","Diesel","Manual",2.3,49849,85901,3888,"High"
"7 Series",2022,"South America","Black","Petrol","Manual",4.3,42694,96474,1236,"Low"
"X1",2010,"Europe","White","Hybrid","Automatic",3.3,210482,68174,4608,"High"
"i8",2016,"Europe","Red","Diesel","Manual",3.9,131336,67448,6074,"High"
"M3",2023,"Asia","Blue","Diesel","Automatic",3.1,47126,102056,2705,"Low"
"7 Series",2023,"Asia","Blue","Diesel","Automatic",2.3,31203,91358,3038,"Low"
"X5",2023,"North America","White","Petrol","Manual",4.9,32616,103386,2298,"Low"
"3 Series",2021,"Asia","Blue","Diesel","Automatic",3.5,77961,88826,2722,"Low"
"M5",2023,"Asia","Black","Electric","Automatic",2,37300,101966,1878,"Low"
"X3",2022,"Middle East","Red","Diesel","Automatic",2.9,40135,100996,3009,"Low"
"M3",2021,"Europe","Blue","Hybrid","Automatic",2.7,73552,71927,3400,"High"
"X3",2023,"South America","Blue","Electric","Automatic",2.2,20861,89026,1427,"Low"
"X5",2021,"Africa","Silver","Petrol","Automatic",4.8,52243,99466,2510,"Low"
"X5",2012,"North America","Grey","Diesel","Manual",4.6,179395,70199,4131,"High"
"M3",2019,"South America","Grey","Petrol","Manual",2.2,100609,69366,5297,"High"
"7 Series",2021,"South America","Silver","Hybrid","Manual",2.7,61125,93960,4524,"High"
"X1",2018,"South America","Blue","Diesel","Manual",4.2,107915,84238,4210,"High"
"i3",2021,"North America","Grey","Electric","Automatic",2.2,102269,78411,3410,"High"
"M5",2018,"South America","Black","Electric","Manual",3.6,83621,95812,3611,"High"
"i3",2020,"Europe","Grey","Electric","Manual",3.9,106713,78814,2479,"Low"
"5 Series",2024,"Middle East","Silver","Petrol","Manual",3.8,24274,97245,2555,"Low"
"M3",2024,"Europe","White","Petrol","Manual",4,47003,86355,4024,"High"
"M3",2023,"Europe","Black","Hybrid","Manual",4,67693,83577,3547,"High"
"M5",2024,"Europe","Red","Diesel","Manual",4.9,1000,105968,879,"Low"
"X5",2023,"North America","White","Diesel","Manual",2.7,47200,94497,4739,"High"
"3 Series",2017,"Africa","Black","Petrol","Manual",4.6,133552,80112,4778,"High"
"i3",2022,"Africa","White","Diesel","Manual",1.6,52135,79192,3128,"Low"
"X3",2023,"Africa","Red","Diesel","Manual",2.5,40584,87584,1637,"Low"
"i3",2017,"Europe","White","Hybrid","Automatic",1.7,115124,75586,4472,"High"
"X3",2014,"South America","Red","Electric","Manual",3.8,181508,69753,4491,"High"
"i8",2023,"Africa","Red","Diesel","Manual",1.9,58930,82561,3333,"High"
"i8",2023,"Europe","Blue","Petrol","Manual",4.5,51952,98314,2669,"Low"
"5 Series",2022,"Asia","Blue","Hybrid","Automatic",3.8,71696,89904,2059,"Low"
"M3",2015,"Middle East","Blue","Electric","Manual",1.6,168933,61371,4084,"High"
"3 Series",2020,"South America","Grey","Diesel","Manual",4,41676,85770,3652,"High"
"M3",2024,"North America","Silver","Petrol","Manual",4.5,67418,100860,1819,"Low"
"X6",2020,"Asia","Black","Hybrid","Automatic",3.8,67197,85416,2367,"Low"
"X1",2023,"Africa","Grey","Diesel","Automatic",1.6,38736,92509,970,"Low"
"i3",2023,"South America","White","Hybrid","Automatic",4.5,1000,112558,477,"Low"
"M5",2023,"Asia","White","Petrol","Automatic",4.1,40273,98861,2764,"Low"
"M5",2016,"Middle East","Grey","Diesel","Automatic",2.8,117103,71956,3428,"High"
"i3",2017,"South America","Grey","Diesel","Automatic",2.7,141495,69915,4824,"High"
"M5",2012,"Asia","Silver","Diesel","Automatic",3.2,209562,58335,5050,"High"
"M3",2021,"South America","Grey","Petrol","Manual",4.5,51202,99142,3076,"Low"
"i8",2018,"Asia","Black","Hybrid","Automatic",2.4,135738,76895,3389,"High"
"M3",2024,"North America","Grey","Electric","Automatic",1.9,17915,94081,3649,"High"
"3 Series",2012,"Middle East","Red","Petrol","Manual",4.5,187130,67302,5074,"High"
"i3",2014,"South America","Blue","Hybrid","Manual",1.6,161496,56061,5021,"High"
"X6",2024,"Europe","White","Hybrid","Manual",4.7,43961,94919,2605,"Low"
"X6",2024,"South America","Grey","Diesel","Manual",2.6,1000,98521,2674,"Low"
"i3",2019,"Europe","Silver","Hybrid","Automatic",3.3,109275,79109,3719,"High"
"M5",2023,"Africa","Grey","Petrol","Automatic",2,42169,95234,2884,"Low"
"X3",2013,"Middle East","Grey","Diesel","Automatic",4.7,140351,83677,4319,"High"
"3 Series",2024,"Middle East","Silver","Petrol","Automatic",4.1,13759,103347,3052,"Low"
"M3",2022,"Europe","White","Diesel","Manual",4.7,50285,94247,2022,"Low"
"7 Series",2020,"Africa","Red","Diesel","Manual",3.9,68218,84651,1904,"Low"
"3 Series",2018,"South America","Grey","Hybrid","Automatic",2.1,121032,71141,4603,"High"
"7 Series",2013,"Asia","White","Petrol","Automatic",2.6,199896,62352,5016,"High"
"i8",2024,"Europe","White","Hybrid","Automatic",3.2,1000,105228,680,"Low"
"i3",2023,"Middle East","Silver","Petrol","Automatic",3.6,46848,94726,2709,"Low"
"M5",2024,"Asia","Blue","Hybrid","Automatic",4.7,1000,113266,1462,"Low"
"3 Series",2024,"South America","Silver","Petrol","Manual",2.8,22291,98112,2329,"Low"
