"Model","Year","Region","Color","Fuel_Type","Transmission","Engine_Size_L","Mileage_KM","Price_USD","Sales_Volume","Sales_Classification"
"X3",2013,"North America","Silver","Hybrid","Automatic",4,190951,52634,6244,"High"
"i3",2021,"Africa","Black","Diesel","Manual",1.6,51592,110406,791,"Low"
"i3",2024,"Asia","Silver","Electric","Manual",3.5,1000,125160,1178,"Low"
"X6",2022,"Asia","White","Electric","Manual",1.9,43834,112180,3442,"Low"
"X5",2018,"Asia","Blue","Hybrid","Automatic",2.6,121185,100738,3422,"Low"
"i8",2023,"Europe","Red","Hybrid","Automatic",3.8,53060,92088,1965,"Low"
"X5",2015,"Africa","Blue","Electric","Manual",2.1,140264,94618,1449,"High"
"X1",2011,"Asia","Silver","Diesel","Manual",2.6,228832,63444,9734,"High"
"3 Series",2022,"Middle East","Red","Hybrid","Automatic",4,84301,104067,1454,"Low"
"M5",2019,"Europe","Black","Diesel","Manual",3.8,104415,79758,3894,"High"
"i3",2018,"Africa","Grey","Hybrid","Manual",1.8,97490,93781,1308,"High"
"M5",2013,"Asia","Red","Diesel","Automatic",3.5,197121,75175,7168,"High"
"X1",2016,"Middle East","Silver","Diesel","Manual",2,132552,81679,1469,"Low"
"7 Series",2020,"North America","Grey","Electric","Manual",2.4,84927,80083,5291,"High"
"7 Series",2024,"Africa","Blue","Diesel","Automatic",3.1,4839,128027,500,"Low"
"i8",2017,"Asia","Grey","Petrol","Automatic",1.9,139773,87344,3700,"Low"
"7 Series",2017,"Europe","Red","Electric","Manual",5,106087,81015,6115,"High"
"7 Series",2024,"Africa","Grey","Petrol","Automatic",2.1,9517,136175,951,"Low"
"X3",2021,"Africa","Blue","Electric","Automatic",4.2,67759,109685,917,"Low"
"i8",2015,"Europe","Black","Petrol","Automatic",4.4,148506,72029,3053,"Low"
"i3",2020,"North America","Silver","Electric","Manual",5,70547,77732,3654,"Low"
"7 Series",2021,"Middle East","Grey","Petrol","Automatic",3,78888,101630,1634,"Low"
"M3",2016,"Middle East","Blue","Diesel","Manual",4.6,148342,87246,1782,"High"
"i8",2018,"South America","Grey","Diesel","Automatic",4.9,101908,125699,1268,"Low"
"5 Series",2013,"Europe","White","Petrol","Automatic",2.1,173835,59770,5546,"High"
"3 Series",2020,"South America","Grey","Hybrid","Automatic",3.2,66932,115167,2280,"High"
"X6",2023,"Europe","Blue","Diesel","Automatic",1.7,35669,94920,2357,"Low"
"X5",2024,"South America","Grey","Petrol","Manual",3.7,47117,148908,362,"Low"
"M5",2022,"Asia","Blue","Petrol","Manual",3.5,51152,113816,3644,"Low"
"X6",2017,"North America","Red","Diesel","Automatic",2.2,157534,66892,6338,"High"
"3 Series",2018,"Africa","Grey","Diesel","Manual",4.3,111200,100708,1102,"High"
"5 Series",2019,"Asia","Blue","Electric","Manual",1.6,126609,64290,7791,"High"
"X3",2024,"Middle East","Grey","Electric","Automatic",4.3,1000,118217,774,"Low"
"7 Series",2012,"North America","Silver","Petrol","Automatic",1.6,215324,41837,7351,"High"
"X5",2011,"Middle East","Black","Petrol","Manual",3.8,248692,55502,3330,"High"
"M3",2023,"Asia","Blue","Diesel","Manual",1.8,16575,97022,6968,"High"
"X6",2018,"North America","White","Petrol","Manual",2.4,89811,66542,3920,"Low"
"X3",2017,"Asia","Black","Diesel","Manual",4,109404,86723,8096,"High"
"i8",2012,"North America","White","Electric","Automatic",2.5,190044,54213,7786,"High"
"5 Series",2019,"Middle East","Grey","Petrol","Automatic",3.3,85365,94160,1929,"High"
"X5",2018,"Europe","Silver","Petrol","Automatic",4.7,94603,84647,4655,"High"
"X6",2020,"Europe","Silver","Hybrid","Manual",1.7,69341,80284,6185,"High"
"X5",2014,"South America","Red","Petrol","Automatic",4.3,179381,110811,1438,"High"
"X6",2018,"Africa","Silver","Petrol","Manual",1.7,135591,79852,731,"Low"
"7 Series",2022,"South America","Blue","Petrol","Automatic",1.9,61549,130525,524,"Low"
"X6",2021,"South America","Red","Hybrid","Manual",1.9,68749,112969,1182,"Low"
"M5",2013,"Asia","Blue","Diesel","Manual",5,174589,84467,4376,"Low"
"i3",2013,"South America","White","Hybrid","Automatic",2.1,169837,82536,2598,"High"
"i3",2018,"South America","Grey","Hybrid","Automatic",4.6,117168,129347,1025,"Low"
"M5",2015,"Europe","Black","Electric","Manual",5,149149,75116,4171,"High"
"M5",2020,"South America","White","Diesel","Manual",2.8,80368,113756,1316,"High"
"i3",2023,"North America","Silver","Hybrid","Manual",3.7,29186,80533,2838,"Low"
"X5",2020,"North America","White","Petrol","Automatic",4.2,66538,86096,2701,"Low"
"i3",2021,"Africa","Blue","Petrol","Automatic",2.9,57013,123780,931,"Low"
"3 Series",2020,"Asia","Black","Petrol","Manual",2.1,61152,91470,6360,"High"
"3 Series",2020,"North America","Silver","Hybrid","Automatic",3,71930,88137,2304,"Low"
"X6",2011,"Middle East","Black","Electric","Automatic",4.2,199314,68691,2425,"High"
"5 Series",2023,"South America","Red","Hybrid","Manual",4.2,36161,147035,1176,"Low"
"i3",2022,"North America","Black","Petrol","Manual",2.3,42173,83042,5477,"High"
"M5",2013,"Europe","Red","Hybrid","Automatic",2.1,185595,61491,5326,"High"
"7 Series",2022,"Middle East","Black","Electric","Automatic",4.7,43637,106105,1430,"Low"
"M3",2012,"North America","Grey","Diesel","Manual",1.7,199426,45990,6268,"High"
"X1",2023,"Africa","Grey","Petrol","Manual",4.1,25531,131212,1202,"High"
"3 Series",2018,"Asia","White","Hybrid","Automatic",1.7,117872,94218,4888,"Low"
"7 Series",2022,"Europe","White","Petrol","Manual",4.4,37073,100218,2995,"Low"
"X1",2021,"Africa","Red","Hybrid","Automatic",4.7,88513,119748,527,"Low"
"5 Series",2018,"Europe","Black","Diesel","Automatic",2.5,94489,84667,3759,"High"
"5 Series",2021,"Europe","Red","Petrol","Manual",1.8,63648,67091,4856,"High"
"5 Series",2023,"Europe","Silver","Petrol","Manual",3.2,54873,86600,2245,"Low"
"X3",2013,"South America","Blue","Diesel","Manual",2.5,205255,67680,1746,"High"
"M5",2023,"Asia","Red","Electric","Manual",3,56388,109831,3590,"Low"
"3 Series",2020,"Europe","Grey","Petrol","Manual",3.8,96633,81493,4436,"High"
"X3",2017,"Middle East","Black","Petrol","Manual",2.2,103833,76669,2126,"High"
"5 Series",2018,"Asia","Red","Diesel","Automatic",2.7,82027,89344,7197,"High"
"7 Series",2020,"Europe","Black","Diesel","Automatic",4.2,73677,99402,3149,"Low"
"i8",2020,"Middle East","Grey","Petrol","Manual",3.8,83102,96923,1462,"Low"
"i3",2024,"Middle East","Red","Diesel","Manual",2.6,16949,110287,1344,"Low"
"3 Series",2017,"South America","Black","Electric","Automatic",3.8,170721,109981,1582,"High"
"7 Series",2016,"North America","Silver","Hybrid","Automatic",4.2,141743,77165,3324,"Low"
"i3",2016,"Africa","Blue","Petrol","Manual",3.6,176264,87368,1657,"High"
"X3",2013,"North America","White","Diesel","Automatic",2.3,168969,58527,6912,"High"
"M5",2015,"Africa","Red","Petrol","Manual",1.5,172009,68098,1894,"High"
"3 Series",2011,"Africa","Grey","Electric","Manual",4.3,247583,65855,1776,"High"
"X5",2016,"South America","Black","Diesel","Manual",4.4,127479,106968,2020,"High"
"X1",2010,"Europe","Silver","Electric","Manual",3.9,197158,59557,6492,"High"
"i3",2016,"Africa","Blue","Diesel","Manual",1.8,113530,88858,1057,"High"
"X1",2022,"South America","Blue","Hybrid","Automatic",3.5,52466,136842,1515,"High"
"3 Series",2023,"Africa","Silver","Electric","Manual",4.4,39517,130385,793,"Low"
"M5",2020,"Asia","Silver","Diesel","Automatic",2.9,77899,112100,628,"Low"
"3 Series",2013,"South America","Blue","Hybrid","Automatic",2.2,166507,81390,2007,"High"
"X3",2018,"South America","White","Petrol","Automatic",3.6,121462,120105,1270,"Low"
"X5",2022,"North America","Silver","Hybrid","Automatic",4.4,70938,92303,1259,"Low"
"X6",2014,"Europe","Silver","Diesel","Automatic",1.7,200088,54888,6295,"High"
"i3",2022,"Asia","Blue","Hybrid","Manual",3.6,66746,111620,2199,"Low"
"X1",2013,"Asia","Grey","Hybrid","Automatic",3.8,230978,72932,7914,"High"
"5 Series",2021,"Middle East","Grey","Petrol","Manual",3.6,80278,112703,796,"Low"
"5 Series",2024,"Middle East","Black","Petrol","Automatic",3.8,9593,126990,190,"Low"
"i8",2016,"Middle East","Silver","Diesel","Manual",3.7,166376,77297,1935,"High"
"X3",2015,"Europe","Blue","Hybrid","Manual",2,150899,59814,4341,"High"
"7 Series",2021,"Middle East","Blue","Diesel","Automatic",2.3,67170,101358,1921,"High"
"3 Series",2012,"South America","Blue","Petrol","Manual",3.7,183335,87634,2405,"High"
"X1",2022,"Middle East","Grey","Electric","Manual",1.6,41620,102738,1992,"High"
"X1",2015,"Africa","Red","Petrol","Automatic",3.7,151653,93894,1055,"High"
"X5",2018,"Asia","White","Petrol","Automatic",3.8,151573,80780,7696,"High"
"3 Series",2022,"South America","Black","Electric","Automatic",2.3,30717,136798,1202,"Low"
"3 Series",2017,"South America","Red","Electric","Automatic",3.6,106775,115793,1832,"High"
"i3",2023,"Asia","Black","Petrol","Automatic",3.4,35396,121086,3069,"Low"
"3 Series",2021,"Asia","Grey","Diesel","Manual",2.4,60746,111416,4926,"Low"
"X1",2018,"Europe","Blue","Hybrid","Manual",3.1,107154,83320,4116,"High"
"3 Series",2021,"Europe","White","Electric","Automatic",4.7,54306,98314,2317,"Low"
"X5",2021,"Africa","White","Electric","Manual",3,57509,119138,1086,"High"
"X5",2014,"Africa","White","Electric","Automatic",3.7,169618,80237,1274,"High"
"i3",2019,"Middle East","Blue","Diesel","Manual",1.6,104322,82740,2200,"High"
"5 Series",2014,"South America","Blue","Electric","Manual",1.8,191483,94247,2078,"High"
"X3",2012,"Africa","Black","Petrol","Manual",1.8,232130,47385,2499,"High"
"M5",2023,"North America","Grey","Petrol","Manual",4.2,66673,87482,6848,"High"
"X3",2022,"Europe","Black","Petrol","Manual",2.7,53121,92440,1924,"Low"
"3 Series",2017,"Africa","Black","Petrol","Automatic",2.3,126133,83695,1341,"High"
"X5",2024,"Europe","Blue","Diesel","Manual",4.1,18667,99964,3533,"Low"
"X1",2021,"Middle East","White","Electric","Automatic",2.1,58143,97343,1902,"High"
"3 Series",2019,"Europe","Red","Hybrid","Manual",2.4,114025,78758,3296,"Low"
"X1",2023,"South America","Grey","Diesel","Automatic",3,14606,128387,1142,"Low"
"M3",2024,"South America","White","Petrol","Automatic",2.7,21297,126839,722,"Low"
"M5",2020,"Europe","Red","Petrol","Automatic",3.5,40099,85450,3582,"Low"
"X3",2022,"North America","Grey","Electric","Manual",2.7,42930,93459,288,"Low"
"X3",2021,"Asia","Blue","Petrol","Automatic",2.9,60601,111235,2854,"Low"
"M3",2023,"Asia","Silver","Electric","Manual",4.5,7657,106007,4929,"High"
"X3",2020,"South America","White","Hybrid","Manual",4.6,47320,127161,1238,"Low"
"M3",2021,"Africa","Blue","Diesel","Manual",4.4,61257,115714,961,"Low"
"X3",2019,"Asia","Grey","Hybrid","Manual",4.5,136547,96678,7044,"High"
"X6",2015,"South America","Blue","Petrol","Automatic",3.5,114572,108552,1698,"High"
"3 Series",2015,"Asia","White","Hybrid","Manual",3.8,172016,84317,5913,"High"
"5 Series",2015,"Asia","Black","Diesel","Automatic",3.5,149454,88789,6020,"High"
"3 Series",2019,"Asia","Silver","Hybrid","Automatic",4.2,71065,110209,4642,"Low"
"X1",2016,"Asia","White","Hybrid","Automatic",3.4,148832,82385,5438,"High"
"X5",2023,"Asia","Silver","Electric","Automatic",1.9,20854,110938,3681,"Low"
"i8",2023,"North America","Blue","Electric","Manual",4.3,48033,101417,1566,"Low"
"X3",2019,"Middle East","Grey","Electric","Manual",4.2,91864,91460,908,"Low"
"X1",2024,"Middle East","Blue","Diesel","Automatic",4.4,39675,119610,956,"Low"
"X1",2017,"North America","Grey","Petrol","Automatic",2.2,145988,74054,3115,"Low"
"7 Series",2018,"Asia","Red","Hybrid","Manual",2.5,125492,78288,8186,"High"
"i8",2012,"North America","Blue","Hybrid","Manual",2.5,222492,40516,8362,"High"
"X1",2012,"Asia","Silver","Petrol","Manual",3.3,215001,69755,10438,"High"
"i8",2022,"South America","Red","Hybrid","Automatic",2,56420,121491,1248,"Low"
"7 Series",2024,"Asia","White","Petrol","Automatic",2.8,40385,105719,4131,"Low"
"i8",2014,"Asia","Red","Petrol","Manual",2.1,194525,56990,7968,"High"
"X6",2020,"South America","Blue","Diesel","Automatic",2.4,91718,97159,1696,"High"
"X5",2019,"North America","Blue","Hybrid","Manual",4,159972,80652,3074,"Low"
"7 Series",2015,"Africa","Silver","Electric","Manual",4.5,188169,90221,1340,"High"
"X6",2012,"Asia","Red","Petrol","Automatic",1.6,206419,62537,6939,"High"
"M5",2014,"North America","Black","Petrol","Automatic",3.5,125120,72575,5561,"High"
"X3",2022,"Africa","Silver","Hybrid","Automatic",1.6,40760,115300,1011,"High"
"X1",2018,"North America","Black","Electric","Manual",1.8,96096,64400,5944,"High"
"M5",2019,"North America","Silver","Electric","Automatic",4,89248,86078,6370,"High"
"M5",2023,"North America","White","Petrol","Manual",4.1,57204,80832,7421,"High"
"3 Series",2024,"North America","Blue","Petrol","Manual",4.3,32427,96882,899,"Low"
"5 Series",2017,"Europe","Blue","Diesel","Manual",3.2,104906,82703,5113,"High"
"X1",2016,"Africa","White","Petrol","Automatic",4.5,148333,103423,1011,"High"
"3 Series",2019,"South America","White","Petrol","Automatic",2.1,111338,108682,1902,"High"
"M3",2022,"Africa","Black","Hybrid","Manual",2.4,70410,117720,320,"Low"
"X3",2023,"North America","Black","Electric","Manual",2,8705,88758,3349,"Low"
"X1",2021,"Africa","White","Electric","Automatic",4.3,90968,105743,1123,"High"
"i8",2024,"Africa","Silver","Hybrid","Manual",2.3,1000,135194,438,"Low"
"3 Series",2014,"South America","Black","Electric","Automatic",2,173524,83593,2466,"High"
"5 Series",2018,"Europe","Silver","Electric","Manual",3.7,90879,88207,5069,"High"
"M3",2024,"Africa","White","Hybrid","Manual",1.8,3693,111561,999,"High"
"X3",2015,"Asia","Silver","Hybrid","Manual",1.7,197856,61454,8886,"High"
"i3",2017,"Asia","Red","Diesel","Manual",1.9,111422,78491,5642,"High"
"7 Series",2021,"North America","White","Hybrid","Manual",1.5,60514,70419,3709,"Low"
"X1",2023,"Asia","Black","Hybrid","Manual",3.9,54993,114680,2508,"Low"
"X1",2019,"South America","Blue","Hybrid","Manual",3.5,113914,111219,1737,"High"
"X5",2021,"Africa","Black","Diesel","Automatic",2.2,52129,115492,766,"Low"
"X5",2021,"South America","White","Diesel","Manual",2.3,104330,103425,1513,"High"
"7 Series",2022,"South America","Black","Petrol","Manual",4.3,31283,136739,1130,"Low"
"X1",2024,"Europe","White","Hybrid","Automatic",3.3,40747,89130,4076,"High"
"i8",2022,"Europe","Red","Diesel","Manual",3.9,6076,106314,1459,"Low"
"M3",2022,"Asia","Blue","Diesel","Automatic",3.1,51673,119300,4562,"Low"
"7 Series",2016,"Asia","Blue","Diesel","Automatic",2.3,160802,79356,4794,"Low"
"X5",2012,"North America","White","Petrol","Manual",4.9,191795,69029,4379,"High"
"3 Series",2018,"Asia","Blue","Diesel","Automatic",3.5,142250,91284,7868,"High"
"M5",2012,"Asia","Black","Electric","Automatic",2,211559,59797,6855,"High"
"X3",2012,"Middle East","Red","Diesel","Automatic",2.9,204279,68417,2946,"High"
"M3",2024,"Europe","Blue","Hybrid","Automatic",2.7,14867,96054,2000,"Low"
"X3",2019,"South America","Blue","Electric","Automatic",2.2,48700,122284,2084,"High"
"X5",2023,"Africa","Silver","Petrol","Automatic",4.8,1000,140802,354,"Low"
"X5",2023,"North America","Grey","Diesel","Manual",4.6,18985,88368,3809,"Low"
"M3",2018,"South America","Grey","Petrol","Manual",2.2,106684,109724,1234,"Low"
"7 Series",2020,"South America","Silver","Hybrid","Manual",2.7,84595,114789,2252,"High"
"X1",2021,"South America","Blue","Diesel","Manual",4.2,56023,141117,1097,"Low"
"i3",2014,"North America","Grey","Electric","Automatic",2.2,164794,62471,6842,"High"
"M5",2020,"South America","Black","Electric","Manual",3.6,61892,120260,1710,"High"
"i3",2020,"Europe","Grey","Electric","Manual",3.9,72034,88858,5617,"High"
"5 Series",2013,"Middle East","Silver","Petrol","Manual",3.8,205722,75139,2226,"High"
"M3",2018,"Europe","White","Petrol","Manual",4,109515,81196,3572,"Low"
"M3",2024,"Europe","Black","Hybrid","Manual",4,1000,93382,2969,"Low"
"M5",2021,"Europe","Red","Diesel","Manual",4.9,66442,90584,2568,"Low"
"X5",2024,"North America","White","Diesel","Manual",2.7,5092,95532,2728,"Low"
"3 Series",2024,"Africa","Black","Petrol","Manual",4.6,11405,135526,118,"Low"
"i3",2024,"Africa","White","Diesel","Manual",1.6,22333,120256,519,"Low"
"X3",2022,"Africa","Red","Diesel","Manual",2.5,75921,114882,1191,"High"
"i3",2022,"Europe","White","Hybrid","Automatic",1.7,51465,95273,3231,"Low"
"X3",2016,"South America","Red","Electric","Manual",3.8,148986,110881,1466,"High"
"i8",2017,"Africa","Red","Diesel","Manual",1.9,134084,83386,1474,"High"
"i8",2017,"Europe","Blue","Petrol","Manual",4.5,142181,75559,5232,"High"
"5 Series",2019,"Asia","Blue","Hybrid","Automatic",3.8,89715,110323,4024,"Low"
"M3",2013,"Middle East","Blue","Electric","Manual",1.6,183844,60100,3128,"High"
"3 Series",2021,"South America","Grey","Diesel","Manual",4,43955,135680,406,"Low"
"M3",2018,"North America","Silver","Petrol","Manual",4.5,105178,71364,5780,"High"
"X6",2015,"Asia","Black","Hybrid","Automatic",3.8,178710,80203,6597,"High"
"X1",2018,"Africa","Grey","Diesel","Automatic",1.6,79889,93795,1489,"High"
"i3",2023,"South America","White","Hybrid","Automatic",4.5,58967,141326,1344,"High"
"M5",2021,"Asia","White","Petrol","Automatic",4.1,83698,126300,3778,"Low"
"M5",2022,"Middle East","Grey","Diesel","Automatic",2.8,84387,97939,908,"Low"
"i3",2018,"South America","Grey","Diesel","Automatic",2.7,109075,121757,639,"Low"
"M5",2023,"Asia","Silver","Diesel","Automatic",3.2,58929,110940,3848,"Low"
"M3",2022,"South America","Grey","Petrol","Manual",4.5,40301,141557,1054,"Low"
"i8",2023,"Asia","Black","Hybrid","Automatic",2.4,24473,113152,4320,"Low"
"M3",2023,"North America","Grey","Electric","Automatic",1.9,35844,83362,3530,"Low"
"3 Series",2021,"Middle East","Red","Petrol","Manual",4.5,64681,112226,1300,"Low"
"i3",2024,"South America","Blue","Hybrid","Manual",1.6,38658,142961,409,"Low"
"X6",2022,"Europe","White","Hybrid","Manual",4.7,51323,92017,5819,"High"
"X6",2022,"South America","Grey","Diesel","Manual",2.6,35750,122721,1558,"High"
"i3",2018,"Europe","Silver","Hybrid","Automatic",3.3,112623,89182,3224,"Low"
"M5",2015,"Africa","Grey","Petrol","Automatic",2,180149,81207,1180,"High"
"X3",2017,"Middle East","Grey","Diesel","Automatic",4.7,155847,93382,1044,"Low"
"3 Series",2022,"Middle East","Silver","Petrol","Automatic",4.1,50145,100176,2072,"High"
"M3",2019,"Europe","White","Diesel","Manual",4.7,132805,83318,2766,"Low"
"7 Series",2016,"Africa","Red","Diesel","Manual",3.9,137919,105310,889,"Low"
"3 Series",2019,"South America","Grey","Hybrid","Automatic",2.1,119943,108745,1472,"High"
"7 Series",2014,"Asia","White","Petrol","Automatic",2.6,201832,59939,7404,"High"
"i8",2015,"Europe","White","Hybrid","Automatic",3.2,158204,67037,6035,"High"
"i3",2022,"Middle East","Silver","Petrol","Automatic",3.6,22672,110148,722,"Low"
"M5",2023,"Asia","Blue","Hybrid","Automatic",4.7,4221,133714,5424,"High"
"3 Series",2022,"South America","Silver","Petrol","Manual",2.8,65571,111086,1417,"High"
"X1",2015,"Europe","Grey","Diesel","Manual",4,142076,80818,4068,"High"
